# 95% CL limits on Dirac-delta spike spectrum using Planck 2018 data (TT,TE,EE,lowE+lensing)
# Limits bigger than unity are given as zero since they are meaningless
# See xxxx.xxxx for more detail
# Columns are: k_0 CI CIP BI BCI

1.000000e+00 7.393951e-01 2.086899e-01 1.673093e-01 6.726462e-02
1.778279e+00 6.996442e-01 2.060490e-01 1.627196e-01 6.413681e-02
3.162278e+00 6.713734e-01 2.070916e-01 1.663709e-01 6.297848e-02
5.623413e+00 6.722222e-01 2.098198e-01 1.636827e-01 6.299396e-02
1.000000e+01 6.625914e-01 2.063340e-01 1.655902e-01 6.025008e-02
1.778279e+01 6.113898e-01 2.077818e-01 1.675540e-01 6.113720e-02
3.162278e+01 6.459610e-01 2.068574e-01 1.641373e-01 6.312866e-02
5.623413e+01 6.332035e-01 2.041141e-01 1.671388e-01 6.226499e-02
1.000000e+02 6.470559e-01 2.040029e-01 1.695627e-01 6.372044e-02
1.778279e+02 6.528437e-01 1.938267e-01 1.654162e-01 6.388811e-02
3.162278e+02 6.789117e-01 1.801978e-01 1.556149e-01 6.840248e-02
5.623413e+02 8.571853e-01 1.289604e-01 1.219649e-01 7.162486e-02
1.000000e+03 0            8.416032e-02 7.719844e-02 5.298869e-02
1.778279e+03 0            5.857940e-02 5.235194e-02 3.569204e-02
3.162278e+03 0            6.230795e-02 5.534641e-02 3.571410e-02
5.623413e+03 0            3.210560e-01 2.631293e-01 1.303000e-01
1.000000e+04 0            0            0            6.113605e-01
